name,age,subject,grade,hours_per_week
Amelia,17,Physics,53,19
Ian,16,English,54,1
Alice,18,History,80,10
Ian,17,Math,68,1
Mason,15,English,95,11
Sebastian,14,Chemistry,91,17
Lucas,18,Math,67,19
Ian,14,Art,53,2
Henry,18,Biology,51,12
James,16,Chemistry,63,19
Ian,15,Art,100,18
Isabella,16,Art,96,16
Leo,14,PE,83,15
Nathan,18,Art,54,9
David,15,Physics,52,18
Frank,14,Physics,51,4
Olivia,14,Science,65,3
Katherine,15,Biology,96,19
Jack,16,Science,60,19
Charlotte,15,English,72,9
Violet,18,Chemistry,90,17
Elijah,14,English,96,9
James,17,Science,74,14
Noah,14,Chemistry,84,5
Bob,16,Science,74,16
Charlotte,14,Art,71,14
Alexander,17,PE,53,8
Bob,16,Art,100,18
Jack,16,Music,54,18
Mia,17,PE,85,7
Charlotte,16,History,96,3
Quinn,18,Art,94,13
Frank,14,Chemistry,83,11
Daniel,17,Music,70,8
Emma,16,Science,100,3
Will,14,Biology,100,13
Ian,16,Physics,91,1
Grace,18,Physics,88,12
Zane,17,Art,76,6
David,15,English,50,14
Zane,14,Physics,80,2
Charlotte,18,Physics,84,19
Matthew,18,Math,100,10
Tina,16,Art,82,5
Scarlett,15,Art,95,1
Charlie,18,History,99,16
Bob,16,PE,70,11
Sebastian,17,Science,80,6
Matthew,14,Biology,60,9
Mia,17,Biology,56,8
